		MS_MS_Count_05fmolExp1	MS_MS_Count_05fmolExp2	MS_MS_Count_10fmolExp1	MS_MS_Count_10fmolExp2	MS_MS_Count_1fmolExp1	MS_MS_Count_1fmolExp2	MS_MS_Count_20fmolExp1	MS_MS_Count_20fmolExp2	MS_MS_Count_50fmolExp1	MS_MS_Count_50fmolExp2	MS_MS_Count_5fmolExp1	MS_MS_Count_5fmolExp2
347	O94905__ERLIN2_ERLIN1	0	0	0	0	0	1	1	0	0	0	1	0
348	Q9NPA8__ENY2	1	0	0	0	0	0	0	1	1	1	0	0
349	P52758__HRSP12	0	0	0	1	0	0	0	0	1	0	0	1
350	P62888__RPL30	0	1	2	2	1	2	2	3	2	1	1	1
351	E5RJD8__TBCA	2	3	2	1	0	1	0	3	1	0	1	2
352	O00203__AP3B1	0	0	0	0	0	1	0	0	0	2	0	0
353	P11413_2__G6PD	0	0	0	0	0	0	1	0	0	2	1	0
354	Q7L5N1__COPS6	0	0	0	0	0	0	0	0	0	1	0	0
355	H3BND4__PDXDC1_PDXDC2P	1	0	0	0	0	0	0	0	0	0	0	0
356	O14617_5__AP3D1	1	1	0	1	0	1	1	0	1	1	0	1
357	Q13867__BLMH	0	0	0	1	0	0	0	0	0	0	0	0
358	P21964__COMT	0	0	0	0	0	0	0	0	1	0	0	0
359	Q9P0K7_2__RAI14	0	0	0	0	0	0	0	1	0	0	0	0
360	O60733__PLA2G6	0	0	0	0	0	0	0	0	1	0	0	0
361	Q8NF91__SYNE1	0	0	1	0	0	1	1	0	1	1	0	0
362	E7ENR4__HK1	1	2	1	1	2	1	1	1	1	1	1	0
363	E7ENU4__ADAR	1	0	0	1	2	1	0	0	3	2	1	0
364	P48643__CCT5	7	5	4	8	7	5	9	7	8	5	8	8
365	P53992__SEC24C	1	0	0	1	0	0	0	0	0	1	1	0
366	P50914__RPL14	0	0	1	1	1	0	1	1	0	1	0	0
367	Q9Y520_7__PRRC2C	0	0	0	0	0	0	0	0	0	0	0	1
368	O95372__LYPLA2	0	0	0	0	0	0	0	1	0	0	0	0
369	E7EPT4__NDUFV2	0	0	0	0	0	0	1	0	0	0	0	0
370	P37840__SNCA	0	0	0	0	0	0	0	0	0	0	1	1
371	Q9GZZ9__UBA5	0	0	0	0	1	0	0	0	0	0	0	0
372	E7EQD5__STXBP2	0	0	0	0	0	0	0	0	0	0	0	0
373	P15311__EZR	3	3	6	6	5	3	3	7	7	3	3	4
374	Q9UKV3__ACIN1	2	3	1	2	4	2	4	2	5	1	1	3
375	O15347__HMGB3	0	0	0	1	0	1	0	1	1	1	0	1
376	P61313__RPL15	2	3	0	4	2	1	3	1	3	1	1	3
377	Q13330__MTA1_MTA3	1	0	0	0	1	1	0	0	0	0	0	0
378	E7ERF4__ADSL	0	0	0	1	0	0	0	0	0	0	0	0
379	Q96EY1__DNAJA3	1	0	0	0	0	0	0	0	0	1	0	0
380	Q5R3I4__TTC38	1	0	0	0	0	1	0	0	0	0	1	0
381	E7ES43__HSPA4L	1	2	1	1	2	1	0	1	3	3	3	2
382	Q9H0A0__NAT10	0	0	0	0	0	0	0	1	0	0	0	0
383	P62847_4__RPS24	2	3	0	4	4	1	4	3	1	4	2	3
384	E7ETU3__CDC42	1	1	1	0	1	1	2	2	1	1	1	2
385	O00469_2__PLOD2	1	0	0	0	0	1	0	0	0	1	0	0
386	Q9Y6E2__BZW2	1	1	1	3	0	1	2	0	0	0	2	2
387	E7EU23__GDI2	3	4	4	8	7	8	7	7	4	4	7	5
388	P68400__CSNK2A1_hCG_21984	0	1	1	0	1	0	0	0	0	0	1	0
389	E7EUC7__UGP2	0	0	0	0	0	0	0	1	0	0	1	0
390	E7EUE1__ABCD3	0	1	1	0	1	0	1	1	2	1	2	3
391	P05091__ALDH2	0	1	0	1	0	0	0	1	1	0	0	0
392	Q12874__SF3A3	0	3	0	2	3	1	3	1	2	1	0	2
393	Q8IWZ3_6__ANKRD17_ANKHD1	1	0	0	0	0	0	0	0	0	0	1	0
394	P21283__ATP6V1C1	0	0	0	0	0	0	0	0	0	0	0	0
395	E7EW20__MYO6	1	0	1	0	1	2	1	2	3	1	0	1
396	Q13200__PSMD2	1	1	1	0	1	0	0	1	3	2	2	3
397	K7ESQ2__SPC24	0	0	0	0	0	0	1	0	0	0	0	0
398	P51991__HNRNPA3	3	4	1	4	4	6	5	5	2	10	7	4
399	Q9H2U1__DHX36	0	1	0	0	0	0	0	0	0	1	0	0
400	E7EWR4__CSTF2_CSTF2T	0	0	0	0	0	0	0	1	1	0	0	0
401	E7EWS7__UBE2L3	1	0	2	1	1	4	5	3	3	2	0	2
402	E9PF49__NDUFB9	0	0	0	0	0	0	1	0	0	0	0	0
403	E7EX17__EIF4B	4	12	3	3	7	7	5	8	5	5	8	5
404	Q9GZT8__NIF3L1	0	0	0	1	0	0	1	0	0	0	0	0
405	E9PAU2__RAVER1	0	0	3	0	0	1	1	0	1	0	1	1
406	E9PAV3__NACA	3	5	2	3	2	1	3	4	2	3	3	3
407	O00330__PDHX	0	0	0	2	0	0	0	0	0	0	0	0
408	E9PB21__GINS3	0	0	0	0	0	0	0	0	0	0	0	0
409	E9PB61__ALYREF	1	1	3	1	0	0	0	0	1	0	0	1
410	O00139_4__KIF2A	0	0	0	1	0	1	0	0	2	0	0	0
411	O75152__ZC3H11A	0	0	0	0	0	0	0	1	0	0	1	1
412	Q53H12__AGK	1	1	0	1	1	1	0	1	1	1	0	1
413	Q13144__EIF2B5	0	1	0	0	0	0	0	1	0	1	0	0
414	E9PC97__PHF6	0	0	0	2	0	1	1	2	1	0	1	1
415	P14324__FDPS	0	0	0	0	0	0	0	0	1	0	0	1
416	Q9Y4E8__USP15_USP11_USP4	0	1	0	0	0	0	0	0	0	0	0	0
417	E9PCR7__OGDH	2	0	0	2	1	1	1	0	1	1	0	0
418	P61962__DCAF7	0	1	0	1	0	0	0	0	2	0	0	0
419	Q02880__TOP2B	1	0	0	0	0	0	0	0	0	0	0	0
420	P23921__RRM1	0	1	1	2	2	1	0	0	0	1	2	1
421	O43795__MYO1B	0	0	0	1	0	1	0	0	0	0	0	0
422	Q9NNW5__WDR6	0	0	0	1	0	0	0	0	0	0	0	0
423	I3L0E3__MRPS17	0	0	0	0	0	0	0	0	0	0	1	0
424	E9PEB5__FUBP1	1	1	1	3	1	2	4	1	4	4	2	1
425	P50851__LRBA_NBEA	0	0	0	0	1	0	0	0	0	0	0	0
426	E9PEN8__XPO7	0	0	0	0	1	1	0	0	0	0	0	0
427	Q9UNP9_3__PPIE	0	0	0	2	0	0	0	0	0	0	0	0
428	Q16836_2__HADH	0	0	0	1	0	1	0	1	1	1	0	1
429	Q9Y4P3__TBL2	0	0	0	0	0	0	0	0	0	0	0	0
430	Q92747__ARPC1A	0	0	0	0	1	0	1	0	0	0	0	0
431	P05455__SSB	5	1	3	1	3	2	3	5	2	2	3	2
432	O60502__MGEA5	0	0	0	0	0	0	0	0	1	0	0	0
433	P30085__CMPK1	1	2	0	1	2	1	2	2	2	0	0	0
434	O14976__GAK	0	0	0	1	0	0	0	0	0	0	0	0
435	Q15631__TSN	0	0	0	0	0	0	0	0	0	0	1	0
436	P30048__PRDX3	3	4	0	4	1	1	6	4	1	4	5	3
437	P43246__MSH2	2	1	2	3	1	1	1	2	1	1	1	1
438	E9PHI6__DYNC1LI1	0	1	0	0	1	0	2	1	1	1	1	1
439	E9PHK9__TCOF1	0	3	1	2	0	0	2	1	0	0	0	0
440	F6XZQ7__GSTM2	1	0	0	0	0	1	0	1	1	1	0	1
441	O43491__EPB41L2	2	0	0	1	0	2	1	0	1	0	0	1
442	Q04206__RELA	0	0	0	0	0	1	0	0	0	0	0	1
443	E9PR47__C11orf67	0	0	0	0	1	0	0	0	0	0	0	0
444	Q04323_2__UBXN1	0	1	1	0	0	0	0	0	0	0	1	0
445	Q9P000__COMMD9	1	1	0	1	0	1	0	1	0	0	1	1
446	P54105__CLNS1A	1	0	0	0	0	0	0	0	0	1	1	0
447	E9PRY8__EEF1D	4	1	0	1	2	3	3	4	2	1	2	3
448	Q9NYF8__BCLAF1	1	1	1	0	2	1	1	2	0	1	2	2
449	G8JLI3__PPP6R3	0	0	0	1	0	0	0	0	0	0	0	0
450	H7C2I1__PRMT1	0	0	0	1	0	3	2	1	2	3	3	2
451	O00217__NDUFS8	1	1	1	0	1	1	3	1	0	1	1	1
452	P17480__UBTF	0	0	1	1	0	0	1	0	0	0	0	0
453	G5EA30__CELF1	0	0	0	1	0	0	1	0	0	1	1	0
454	Q9NRX2__MRPL17	1	0	0	1	1	0	0	0	0	0	1	0
455	Q15005__SPCS2	1	1	0	1	1	1	2	0	1	1	1	1
456	Q9Y4L1__HYOU1	0	2	2	2	3	3	1	3	2	1	2	1
457	Q9UNM6_2__PSMD13	1	1	0	0	0	0	1	0	2	0	1	0
458	P55786__NPEPPS	2	3	1	4	1	3	6	5	3	2	1	1
459	P46776__RPL27A	1	2	2	1	1	3	0	4	4	2	2	4
460	E9PLQ8__PSMC3	0	0	0	1	0	0	0	0	0	1	1	0
461	O43504__HBXIP	0	0	0	0	0	0	1	0	0	1	0	0
462	P17980__PSMC3	3	0	0	1	2	2	2	0	2	2	2	2
463	O00193__SMAP_C11orf58	0	0	0	0	0	0	0	0	0	1	0	1
464	E9PN81__RNASEH2C	0	0	0	0	1	1	0	0	0	0	1	0
465	J3KNE7__TPD52L1	0	0	0	1	0	0	0	0	0	0	0	0
466	Q8WVX9__FAR1	0	0	0	0	0	0	0	0	0	1	0	1
467	E9PQ57__RAE1	1	0	0	0	2	0	0	0	0	0	1	0
468	E9PQY2__PFDN4	0	0	0	0	0	0	1	0	0	1	0	0
469	Q12769__NUP160	0	0	0	0	0	1	0	2	1	0	1	0
470	E9PR30__FAU	1	0	0	0	0	0	0	0	1	0	0	0
471	E9PRZ1__SAAL1	0	0	0	0	0	0	0	0	0	0	1	0
472	Q9BSJ2_4__TUBGCP2	0	2	0	0	0	1	0	0	0	0	0	0
473	P05114__HMGN1	0	1	0	0	0	0	0	1	0	0	0	1
474	O00764__PDXK	1	0	0	3	2	0	0	0	0	0	0	0
475	P42766__RPL35	0	0	1	1	1	0	0	0	1	1	4	1
476	F5GWS9__ORAOV1	0	0	0	0	0	1	0	0	0	0	0	0
477	F5H2M7__WNK1	0	1	0	0	0	0	0	0	0	0	0	0
478	Q14839_2__CHD4_CHD5	0	0	0	0	1	0	2	0	1	0	1	0
479	Q9Y3B8__REXO2	0	1	0	0	0	0	1	1	0	0	0	0
480	O00233__PSMD9	0	0	0	0	1	0	0	0	0	0	0	0
481	Q99653__CHP	0	0	0	1	0	0	0	1	0	0	0	0
482	P26358_2__DNMT1	0	0	0	0	0	1	0	0	0	0	0	1
483	Q9UI30__TRMT112	0	1	0	1	1	1	1	1	0	0	1	0
484	Q13740__ALCAM	0	1	0	0	1	0	0	0	0	0	0	0
485	Q96PU8__QKI	1	1	0	0	1	1	0	1	0	0	2	1
486	Q99622__C12orf57	0	0	0	1	0	1	0	0	0	0	0	0
487	Q9UBW8__COPS7A	1	0	0	2	0	0	0	0	0	0	2	0
488	P43304__GPD2	0	1	0	1	1	1	0	1	1	1	0	1
489	F5GYL8__KPNA6_KPNA1_KPNA5	0	0	0	0	1	0	0	0	0	0	2	0
490	J3KR44__OTUB1	1	2	1	0	3	2	2	1	0	1	1	1
491	O60763_2__USO1	0	0	0	0	1	0	0	0	0	0	1	0
492	Q9BW83__IFT27_RABL4	0	0	0	0	0	0	0	1	0	0	0	0
493	P36776__LONP1	2	1	1	1	2	1	1	1	1	1	0	2
494	O14519__CDK2AP1	1	1	0	1	0	1	1	1	0	1	1	0
495	Q15021__NCAPD2	0	1	0	1	0	1	0	0	1	0	0	0
496	P08195_4__SLC3A2	2	2	0	1	2	1	1	0	0	1	3	2
497	H1ZZW1__CADM1	0	0	0	0	1	0	0	0	0	1	0	0
498	Q8IX12__CCAR1	1	1	0	1	0	0	0	0	1	0	0	0
499	F5H2S7__DCTN2	1	0	0	4	0	0	3	1	0	0	0	3
500	Q8NFW8__CMAS	0	0	0	1	1	0	0	0	1	1	1	1
501	F5H6H0__HMGA2	0	0	0	1	0	1	1	0	1	0	0	0
502	P61758__VBP1	0	0	1	0	0	0	0	0	0	0	0	0
503	P54687_5__BCAT1	0	0	0	0	0	0	0	0	0	0	0	0
504	F5H2F4__MTHFD1	2	7	3	6	4	4	5	5	5	3	6	3
505	P35520_2__CBS	0	0	0	0	0	0	0	0	0	1	0	1
506	P08397__HMBS	2	1	1	0	1	1	0	2	0	1	0	2
507	Q15276__RABEP1	1	0	0	0	0	0	0	0	0	1	0	0
508	Q15436__SEC23A	1	0	0	3	3	0	1	0	2	1	0	1
509	F5H3A1__ATP1A1	4	2	3	2	4	4	5	7	4	3	7	3
510	F5H3I5__CDK5RAP3	0	1	0	0	0	0	0	0	1	0	0	0
511	P30153__PPP2R1A	7	5	2	8	3	5	4	5	5	5	3	6
512	Q92572__AP3S1	0	0	0	1	0	0	1	0	0	0	0	0
513	Q8IZ83__ALDH16A1	0	1	0	0	0	0	1	1	0	0	1	0
514	F5H4S9__TJP3	0	0	0	1	0	0	0	0	0	0	0	0
515	Q8WUM0__NUP133	0	0	0	0	0	0	0	0	0	0	0	1
516	F5H5D3__TUBA1C	0	0	0	1	0	0	0	0	1	1	0	0
517	Q12849__GRSF1	0	0	0	1	0	0	0	0	1	0	0	0
518	Q8N684_3__CPSF7	0	0	0	0	0	0	0	0	0	0	0	0
519	O60907__TBL1X_TBL1Y_TBL1XR1	0	0	0	2	0	0	0	0	0	0	0	0
520	Q96A72__MAGOHB_MAGOH	2	1	0	2	2	1	0	1	1	1	1	1
521	P09496__CLTA	2	2	0	1	2	1	2	2	0	0	0	2
522	F5H740__VDAC3	1	0	0	1	0	0	0	0	0	0	1	2
523	P10515__DLAT	2	3	1	2	2	3	3	1	2	0	2	1
524	P51970__NDUFA8	1	1	0	0	0	1	0	1	1	2	0	0
525	J3KN36__NOMO2_NOMO3_NOMO1	0	0	0	0	1	0	0	0	0	0	0	0
526	Q12931__TRAP1	4	3	2	2	3	2	2	3	4	3	2	2
527	F5H8B1__PCYT2	0	0	0	1	0	0	0	0	0	0	0	0
528	F5HFY4__NAP1L4b_NAP1L4	3	3	3	4	6	4	5	3	2	5	4	3
529	P60981__DSTN	1	0	0	0	0	0	0	0	0	0	0	0
530	F6S0T5__KDM1A	0	0	0	0	0	1	0	0	0	0	0	0
531	Q9NSE4__IARS2	1	0	0	3	0	0	2	0	2	0	0	1
532	Q6L8Q7__PDE12	0	0	0	0	1	0	0	0	0	0	0	0
533	F6XY72__NME2	0	0	0	0	0	0	1	0	1	0	0	0
534	P27708__CAD	4	4	2	0	2	3	5	6	5	3	2	4
535	F8VQ10__DDX39B_BAT1_DDX39A	8	6	3	6	6	5	6	5	3	6	4	3
536	Q9UHB6__LIMA1	0	1	0	0	0	0	0	0	0	0	0	1
537	Q9HB07__C12orf10	0	1	0	1	1	0	0	0	1	0	0	0
538	Q9BZF1__OSBPL8	0	0	0	0	0	0	0	0	1	0	0	1
539	P09651__HNRNPA1_HNRNPA1L2	10	5	10	9	12	12	9	12	9	9	13	9
540	Q12792__TWF1	0	1	0	0	1	2	0	2	1	0	0	1
541	F8VVA7__COPZ1	0	0	1	0	1	1	1	0	1	1	0	1
542	Q00325_2__SLC25A3	1	1	1	1	2	2	2	1	0	1	1	2
543	J3QQ67__RPL18	4	1	1	1	1	1	3	1	1	2	2	2
544	F8VXC8__SMARCC2	1	0	0	1	0	1	0	1	0	0	1	0
545	F8VXU5__VPS29	0	0	1	1	2	1	0	1	0	1	1	1
546	P36873_2__PPP1CC	5	2	1	5	1	3	6	2	6	4	5	6
547	Q9BVA6__FICD	0	1	1	0	0	0	0	0	0	0	0	0
548	B7Z6Z4__MYL6	2	2	2	1	1	4	2	2	1	3	4	3
549	F8W031__CNPY2	2	2	1	2	3	2	2	3	1	3	2	1
550	P54819__AK2	2	3	2	4	3	2	3	3	3	1	3	1
551	P35580_4__MYH10	3	1	1	4	5	4	2	3	4	3	4	4
552	P43897_2__TSFM	0	0	0	0	1	1	0	0	0	0	0	0
553	Q14157_5__UBAP2L	2	2	2	4	3	2	4	2	2	1	4	2
554	O00461__GOLIM4	0	0	0	0	0	0	0	0	0	0	0	0
555	Q9NVI1__FANCI	1	1	0	2	1	1	1	2	1	1	3	1
556	Q9BYJ9__YTHDF1_YTHDF3	0	0	1	0	0	0	0	0	0	0	0	0
557	P35221_2__CTNNA1	0	0	0	0	1	1	2	0	0	1	0	1
558	REV__Q15075__MX1	0	0	0	0	0	0	1	0	0	0	0	0
559	Q9NQC3__RTN4	1	1	0	1	1	1	1	1	1	1	2	0
560	F8W930__IGF2BP2	1	4	0	2	2	1	1	1	2	1	2	0
561	Q8N7H5__PAF1	0	1	0	0	0	0	0	0	1	1	0	0
562	Q9UDR5__AASS	0	0	0	0	0	0	0	0	0	0	0	0
563	Q8N3U4_2__STAG2	0	2	0	1	0	0	0	0	0	0	0	0
564	Q9NQ50__MRPL40	0	0	0	0	1	0	0	1	1	0	0	0
565	H0Y7A7__CALM2_CALM1	1	2	0	1	0	1	1	1	2	1	1	0
566	P59998_2__ARPC4_ARPC4_TTLL3	0	1	0	0	0	1	0	0	0	0	0	0
567	F8WCY5__RCN2	1	2	0	1	1	0	2	1	1	0	0	2
568	Q9BVJ6__UTP14A_UTP14C	1	1	0	0	1	0	0	0	1	0	0	0
569	Q9NY93__DDX56	0	0	0	0	0	0	1	0	0	0	0	0
570	F8WE14__CALN1	1	0	0	0	0	0	0	1	0	1	0	0
571	Q8TBC4__UBA3	0	0	1	0	0	0	0	0	0	1	0	0
572	Q16630_2__CPSF6	0	0	0	1	1	0	0	1	0	1	0	1
573	O43913__ORC5	0	0	0	1	0	0	0	0	0	0	0	0
574	P49821__NDUFV1	1	1	0	1	1	0	0	0	0	0	1	0
575	Q14444__CAPRIN1	4	1	1	1	1	0	0	0	2	5	1	0
576	G3V180__DPP3	0	0	0	1	0	0	0	0	1	1	1	0
577	Q9BZZ5__API5	0	1	1	2	1	0	1	2	3	1	2	1
578	Q9NUP9__LIN7C	0	0	0	0	0	0	0	0	0	0	1	0
579	Q9UHB9__SRP68	1	2	0	0	1	3	1	3	0	2	2	0
580	Q71U36__TUBA1A_TUBA3C_TUBA3E	1	1	0	2	0	0	0	2	2	2	1	1
581	P45973__CBX5	0	0	0	0	0	1	0	0	1	0	0	0
582	Q6PJT7__ZC3H14	0	0	0	0	1	0	0	0	0	0	0	0
583	G3V5Z7__PSMA6	0	2	0	2	2	2	1	0	2	2	0	1
584	G3V2J9__TTLL5	0	0	0	0	0	0	0	0	0	1	0	0
585	Q8N8N7__PTGR2	1	0	0	1	0	0	0	1	0	1	0	0
586	G3V325__PTCD1_ATP5J2	1	0	0	0	0	0	0	0	2	0	0	1
587	G3V3A4__SNW1	1	0	0	1	0	0	0	1	0	0	0	0
588	Q96JQ2__CLMN	1	1	0	0	0	0	1	0	0	0	0	0
589	P27695__APEX1	0	0	0	1	0	2	0	0	0	0	1	2
590	G3V4P8__GMFB	0	1	1	0	1	0	0	0	0	0	0	1
591	P61011__SRP54	1	0	0	2	0	0	0	0	0	0	0	0
592	Q9ULT8__HECTD1	0	0	0	1	0	0	0	0	0	0	0	0
593	Q9Y281__CFL2	1	1	0	1	1	0	1	1	1	1	1	1
594	Q9NPL8__TIMMDC1	0	0	0	0	0	0	0	1	0	0	0	1
595	P51003__PAPOLA	1	0	0	0	0	0	0	0	0	0	0	0
596	Q96M27_2__PRRC1	1	0	0	0	0	1	0	0	0	0	0	1
597	P42167__TMPO	1	0	0	1	0	0	0	0	1	1	0	0
598	Q15555__MAPRE2	0	0	0	0	0	1	0	0	0	0	0	0
599	G5E9Q2__CSDE1	1	1	0	2	1	0	0	1	1	1	1	1
600	Q92734__TFG	0	0	1	1	0	0	1	0	0	0	1	0
601	Q9UKF6__CPSF3	0	0	0	1	0	0	0	0	0	0	0	1
602	P30101__PDIA3	6	9	7	4	11	4	6	9	4	7	7	5
603	Q06787__FMR1	0	0	0	1	0	0	1	0	1	1	1	0
604	Q9NQW7_3__XPNPEP1	0	0	0	2	0	0	0	1	1	0	0	0
605	G8JLB6__HNRNPH1	7	6	5	6	6	5	10	4	8	5	4	4
606	Q3YEC7_2__PARF_C9orf86	0	0	0	0	1	1	0	0	1	1	1	1
607	Q9H6R4__NOL6	1	0	0	0	0	0	0	0	0	0	1	0
608	P35237__SERPINB6	1	0	0	0	0	0	1	1	1	1	1	1
609	O95470__SGPL1	0	0	0	0	0	1	0	0	0	0	0	0
610	Q9UBI1__COMMD3	0	0	0	0	0	0	1	1	0	0	0	1
611	Q9NR50__EIF2B3	0	0	0	0	0	0	1	0	0	0	1	1
612	J3KQN4__RPL36A_RPL36AL	0	1	0	1	0	1	1	1	0	0	0	0
613	P06132__UROD	0	0	1	0	1	0	0	0	0	0	1	0
614	Q9BYD6__MRPL1	1	1	0	0	1	0	1	1	0	1	0	0
615	H0Y8X4__C6orf108_RCL	0	0	0	1	0	2	3	1	0	0	3	1
616	P07686__HEXB	0	0	0	0	0	1	0	0	0	0	0	0
617	P29218_3__IMPA1	1	1	0	1	0	2	1	0	0	1	1	1
618	Q69YN4__KIAA1429	0	0	0	0	1	0	1	0	0	0	0	0
619	Q9Y3B7__MRPL11	0	0	0	0	0	1	0	0	0	0	0	1
620	Q3LXA3__DAK	0	1	0	1	0	0	0	0	1	0	1	0
621	P53041__PPP5C	1	1	1	3	1	1	1	0	0	2	0	0
622	P15880__RPS2	4	4	1	2	2	3	2	5	6	1	2	9
623	Q96T23__RSF1	0	0	0	1	1	0	0	0	0	0	0	0
624	H0YF61__SCP2	0	0	1	0	0	0	0	0	0	0	0	0
625	Q8NE71__ABCF1	0	1	0	2	1	2	1	1	1	1	1	0
626	Q13242__SRSF9	0	2	1	0	2	2	0	5	3	1	3	0
627	Q9NVM6__DNAJC17	0	0	0	0	0	0	0	0	0	0	1	0
628	P33316__DUT	3	1	0	2	0	3	2	3	1	2	3	3
629	H0YKD8__RPL28	0	2	0	0	0	0	2	2	2	1	0	0
630	H0YKE1__GMPR2	0	0	0	0	0	0	0	0	1	0	0	0
631	P25789__PSMA4	1	3	1	2	0	0	1	2	2	3	1	2
632	P37108__SRP14	1	0	0	1	1	0	1	1	0	0	0	0
633	J3KP77__POU2F1_POU2F2_POU2F3	0	0	0	0	0	0	0	0	0	0	0	0
634	O94788__ALDH1A2	1	0	0	1	0	1	0	0	1	1	1	1
635	Q96A47__ISL2	0	0	0	0	0	0	0	0	0	0	0	0
636	Q9GZS3__WDR61	0	2	0	2	2	0	1	0	1	0	2	0
637	Q9NYL9__TMOD3	0	0	0	0	0	1	0	0	0	0	0	0
638	J3KP14__VPS13D	0	0	0	0	0	0	0	1	0	0	0	0
639	O43488__AKR7A2	1	1	0	1	0	0	2	1	0	1	2	0
640	H3BLZ8__DDX17	5	6	3	11	6	5	6	2	4	4	4	6
641	Q15287__RNPS1	0	0	0	0	1	0	0	0	0	0	0	0
642	H3BQK0__DDX19B	0	1	0	1	1	1	0	0	1	0	0	0
643	Q9GZU8__FAM192A	0	0	0	0	0	0	1	0	0	0	0	1
644	P34949__MPI	0	0	0	0	0	0	0	1	0	0	0	0
645	Q9Y4X5__ARIH1	0	0	0	0	0	0	0	0	1	0	0	1
646	Q9Y2V2__CARHSP1	0	0	0	0	0	0	0	0	0	0	0	0
647	P22695__UQCRC2	0	0	0	0	0	0	0	0	0	0	2	0
648	P42126__ECI1_DCI	1	0	0	0	1	0	1	1	1	1	0	0
649	H3BQK9__MACF1	0	0	0	1	0	0	1	1	0	0	0	0
650	P60520__GABARAPL2	0	0	0	1	1	0	0	0	0	0	0	0
651	Q99613__EIF3C_EIF3CL	4	4	2	4	1	0	2	0	4	1	1	4
652	P19784__CSNK2A2	0	0	0	0	1	0	0	0	0	0	0	1
653	H3BSH7__CIRH1A	0	0	0	0	1	0	0	1	0	0	1	0
654	Q8WWM7_3__ATXN2L	1	0	0	1	0	0	0	1	1	0	0	1
655	P41240__CSK_MATK	0	0	0	0	0	0	2	0	0	0	0	0
656	Q9ULX3__NOB1	0	0	0	0	1	0	1	0	0	0	0	1
657	H3BVG0__NUP93	0	1	0	0	0	1	0	1	0	1	1	0
658	Q9UNF1__MAGED2	0	0	0	0	0	0	0	0	0	0	0	0
659	H7BXW7__BRP44L	0	0	0	0	0	0	0	1	0	0	0	0
660	Q7L2E3_2__DHX30	3	1	1	1	0	2	1	1	0	1	2	2
661	Q9Y5Q8_3__GTF3C5	1	1	0	1	1	1	2	1	0	1	2	1
662	Q16718__NDUFA5_DKFZp781K1356	2	1	1	2	0	1	1	1	0	1	0	0
663	H7BYM6__HMGA1	0	0	0	0	1	0	0	0	0	0	1	1
664	Q5VT66_2__3_1_2013	1	0	0	0	0	0	0	0	1	0	1	0
665	Q8TCS8__PNPT1	0	0	0	1	0	0	0	1	0	1	0	0
666	H7BZJ3__PDIA3	2	0	1	0	0	0	0	0	0	0	0	0
667	Q9BXW9__FANCD2	0	0	0	0	0	0	0	0	1	0	0	0
668	H7BZT4__SUMO2_SUMO3_SUMO4	0	1	1	0	1	0	0	2	0	0	2	1
669	O75312__ZNF259	0	0	0	0	0	1	0	0	0	0	1	0
670	H7C1E4__AP1S1	0	0	0	0	0	0	0	0	0	1	0	0
671	P30042__C21orf33	2	1	0	2	0	0	1	0	2	0	0	1
672	Q9BUR5__APOO	0	0	0	0	0	0	0	0	0	0	0	0
673	Q9BWU0__SLC4A1AP	0	0	0	0	0	0	0	0	0	0	0	0
674	H7C2Q8__EBNA1BP2	0	0	0	1	0	0	1	0	1	0	0	0
675	P50502__ST13_ST13P5_ST13P4	3	1	1	2	2	3	2	1	0	2	0	2
676	H7C455__	0	1	0	1	1	0	0	0	0	1	1	0
677	Q8N766__KIAA0090	0	0	0	0	0	0	1	1	1	0	1	0
678	Q9Y5M8__SRPRB	0	0	0	0	1	0	0	0	0	0	0	0
679	I1E4Y6__GIGYF2	1	0	0	2	0	0	0	0	2	0	2	2
680	Q9NUU7__DDX19A	1	1	0	1	1	1	0	2	2	1	1	1
681	Q9BRA2__TXNDC17	2	1	1	1	1	1	0	0	1	1	0	0
682	O43448__KCNAB3	0	1	0	0	1	0	0	0	0	0	0	0
683	Q02978__SLC25A11	1	3	2	0	2	1	0	2	0	1	1	2
684	P46108__CRK	2	0	0	0	1	0	0	2	1	2	1	2
685	P57678__GEMIN4	0	0	0	0	0	0	1	1	0	0	1	1
686	P43034__PAFAH1B1	1	0	1	0	0	0	0	1	0	1	0	0
687	I3L504__EIF5A_EIF5AL1_EIF5A2	6	6	5	7	4	6	9	6	5	5	5	7
688	P62244__RPS15A	1	2	1	0	0	2	1	3	3	1	3	1
689	Q9HC38__GLOD4	0	3	0	1	0	0	0	1	2	0	2	0
690	Q9UN37__VPS4A_FIGNL1	0	0	0	1	0	0	0	0	0	0	0	0
691	P35613__BSG	0	1	1	2	1	0	0	1	0	2	1	1
692	J3QS41__HELZ	1	0	0	0	0	0	0	0	0	0	0	0
693	Q99567__NUP88	0	0	0	0	0	0	1	1	1	0	0	0
694	Q9GZT3__SLIRP	0	2	1	1	1	0	1	0	1	1	1	0
695	Q16134__ETFDH	0	0	0	0	1	0	0	0	0	1	0	0
696	J3KNF5__CEP290	0	1	0	0	0	0	0	0	0	0	0	0
697	J3KNL6__SEC16A	0	1	0	0	0	0	0	0	0	0	0	0
698	Q16658__FSCN1	1	0	1	1	1	1	1	0	2	1	3	2
699	Q01130__SRSF2_SFRS2	3	2	0	2	1	0	2	1	2	2	3	0
700	J3KPP4__LUC7L3	1	0	1	1	0	1	1	1	1	0	1	1
